dim,birth,b_x,b_y,b_z,death,d_x,d_y,d_z
0, 255, 334, 248, 0, 254, 335, 248.5, 0
0, 254, 316, 280, 0, 253, 316, 279.5, 0
0, 254, 242, 49, 0, 253, 243, 48.5, 0
0, 254, 241, 51, 0, 253, 242, 50.5, 0
0, 254, 220, 232, 0, 253, 221, 232.5, 0
0, 254, 186, 229, 0, 253, 187, 228.5, 0
0, 254, 118, 206, 0, 253, 119, 208.5, 0
0, 254, 117, 204, 0, 253, 118, 205.5, 0
0, 254, 117, 249, 0, 253, 118, 257.5, 0
0, 254, 116, 202, 0, 253, 117, 203.5, 0
0, 254, 93, 275, 0, 253, 93, 275.5, 0
0, 254, 92, 274, 0, 253, 92, 274.5, 0
0, 253, 333, 243, 0, 252, 334, 244.5, 0
0, 253, 333, 166, 0, 252, 332, 165.5, 0
0, 253, 332, 237, 0, 252, 332, 240.5, 0
0, 253, 325, 162, 0, 252, 326, 162.5, 0
0, 253, 303, 353, 0, 252, 304, 352.5, 0
0, 253, 268, 336, 0, 252, 268, 337.5, 0
0, 253, 266, 112, 0, 252, 266, 111.5, 0
0, 253, 264, 113, 0, 252, 265, 112.5, 0
0, 253, 262, 114, 0, 252, 263, 113.5, 0
0, 253, 260, 115, 0, 252, 261, 114.5, 0
0, 253, 258, 116, 0, 252, 259, 115.5, 0
0, 253, 240, 53, 0, 252, 241, 52.5, 0
0, 253, 238, 56, 0, 252, 238, 55.5, 0
0, 253, 200, 324, 0, 252, 201, 325.5, 0
0, 253, 201, 326, 0, 252, 200, 323.5, 0
0, 253, 196, 318, 0, 252, 196, 318.5, 0
0, 253, 95, 277, 0, 252, 95, 276.5, 0
0, 253, 96, 278, 0, 252, 95, 277.5, 0
0, 253, 88, 271, 0, 252, 89, 271.5, 0
0, 253, 86, 270, 0, 252, 87, 270.5, 0
0, 252, 323, 121, 0, 251, 324, 120.5, 0
0, 252, 324, 161, 0, 251, 324, 161.5, 0
0, 252, 289, 133, 0, 251, 290, 132.5, 0
0, 252, 273, 353, 0, 251, 273, 352.5, 0
0, 253, 269, 339, 0, 251, 271, 344.5, 0
0, 252, 270, 109, 0, 251, 269, 109.5, 0
0, 252, 267, 72, 0, 251, 268, 71.5, 0
0, 252, 263, 75, 0, 251, 264, 74.5, 0
0, 252, 202, 328, 0, 251, 202, 327.5, 0
0, 252, 195, 317, 0, 251, 196, 317.5, 0
0, 252, 194, 287, 0, 251, 194, 287.5, 0
0, 252, 114, 199, 0, 251, 115, 199.5, 0
0, 252, 87, 335, 0, 251, 88, 334.5, 0
0, 251, 271, 108, 0, 250, 271, 108.5, 0
0, 252, 269, 71, 0, 250, 270, 70.5, 0
0, 252, 266, 73, 0, 250, 267, 72.5, 0
0, 251, 262, 76, 0, 250, 262, 75.5, 0
0, 251, 259, 78, 0, 250, 260, 77.5, 0
0, 251, 256, 117, 0, 250, 257, 116.5, 0
0, 251, 150, 121, 0, 250, 152, 121.5, 0
0, 251, 144, 120, 0, 250, 146, 120.5, 0
0, 251, 146, 184, 0, 250, 146, 184.5, 0
0, 251, 143, 183, 0, 250, 143, 183.5, 0
0, 251, 98, 281, 0, 250, 98, 280.5, 0
0, 250, 320, 86, 0, 249, 319, 86.5, 0
0, 251, 318, 88, 0, 249, 319, 87.5, 0
0, 250, 317, 89, 0, 249, 318, 88.5, 0
0, 250, 315, 92, 0, 249, 315, 91.5, 0
0, 250, 273, 68, 0, 249, 272, 68.5, 0
0, 250, 258, 79, 0, 249, 258, 78.5, 0
0, 250, 231, 63, 0, 249, 232, 62.5, 0
0, 250, 230, 64, 0, 249, 231, 63.5, 0
0, 250, 219, 104, 0, 249, 220, 103.5, 0
0, 250, 216, 105, 0, 249, 217, 104.5, 0
0, 250, 181, 253, 0, 249, 181, 257.5, 0
0, 250, 151, 186, 0, 249, 150, 185.5, 0
0, 250, 142, 154, 0, 249, 144, 154.5, 0
0, 250, 140, 119, 0, 249, 141, 119.5, 0
0, 250, 140, 182, 0, 249, 141, 182.5, 0
0, 250, 139, 153, 0, 249, 140, 153.5, 0
0, 250, 136, 152, 0, 249, 137, 152.5, 0
0, 250, 135, 118, 0, 249, 136, 118.5, 0
0, 250, 133, 151, 0, 249, 134, 151.5, 0
0, 250, 131, 117, 0, 249, 132, 117.5, 0
0, 250, 130, 150, 0, 249, 131, 150.5, 0
0, 250, 127, 116, 0, 249, 128, 116.5, 0
0, 250, 124, 115, 0, 249, 125, 115.5, 0
0, 250, 121, 114, 0, 249, 122, 114.5, 0
0, 250, 118, 113, 0, 249, 119, 113.5, 0
0, 250, 115, 112, 0, 249, 116, 112.5, 0
0, 250, 112, 111, 0, 249, 113, 111.5, 0
0, 251, 77, 193, 0, 249, 78, 193.5, 0
0, 250, 75, 192, 0, 249, 76, 192.5, 0
0, 250, 36, 122, 0, 249, 37, 122.5, 0
0, 249, 367, 167, 0, 248, 368, 166.5, 0
0, 249, 358, 306, 0, 248, 358, 307.5, 0
0, 249, 322, 83, 0, 248, 322, 83.5, 0
0, 249, 314, 93, 0, 248, 314, 92.5, 0
0, 249, 287, 198, 0, 248, 287, 198.5, 0
0, 249, 284, 197, 0, 248, 285, 197.5, 0
0, 249, 263, 278, 0, 248, 264, 277.5, 0
0, 249, 262, 280, 0, 248, 262, 279.5, 0
0, 249, 261, 281, 0, 248, 262, 280.5, 0
0, 250, 259, 285, 0, 248, 260, 284.5, 0
0, 249, 255, 81, 0, 248, 256, 80.5, 0
0, 249, 229, 65, 0, 248, 229, 64.5, 0
0, 249, 224, 68, 0, 248, 225, 67.5, 0
0, 249, 224, 102, 0, 248, 223, 102.5, 0
0, 249, 219, 71, 0, 248, 220, 70.5, 0
0, 249, 204, 333, 0, 248, 204, 332.5, 0
0, 249, 151, 375, 0, 248, 152, 375.5, 0
0, 249, 151, 156, 0, 248, 149, 155.5, 0
0, 250, 109, 110, 0, 248, 111, 110.5, 0
0, 249, 107, 109, 0, 248, 108, 109.5, 0
0, 249, 39, 124, 0, 248, 39, 123.5, 0
0, 248, 385, 137, 0, 247, 385, 137.5, 0
0, 249, 371, 166, 0, 247, 356, 168.5, 0
0, 248, 313, 94, 0, 247, 314, 93.5, 0
0, 248, 275, 105, 0, 247, 274, 105.5, 0
0, 248, 265, 329, 0, 247, 266, 329.5, 0
0, 249, 264, 277, 0, 247, 265, 276.5, 0
0, 249, 265, 276, 0, 247, 261, 282.5, 0
0, 248, 254, 82, 0, 247, 255, 81.5, 0
0, 249, 226, 67, 0, 247, 227, 66.5, 0
0, 248, 228, 100, 0, 247, 227, 100.5, 0
0, 249, 223, 69, 0, 247, 224, 68.5, 0
0, 249, 221, 70, 0, 247, 222, 69.5, 0
0, 248, 221, 171, 0, 247, 221, 170.5, 0
0, 248, 223, 173, 0, 247, 221, 171.5, 0
0, 248, 215, 73, 0, 247, 216, 72.5, 0
0, 248, 210, 75, 0, 247, 211, 74.5, 0
0, 248, 207, 76, 0, 247, 208, 75.5, 0
0, 248, 206, 43, 0, 247, 207, 42.5, 0
0, 248, 205, 44, 0, 247, 205, 43.5, 0
0, 248, 203, 45, 0, 247, 204, 44.5, 0
0, 248, 202, 46, 0, 247, 202, 45.5, 0
0, 248, 200, 47, 0, 247, 201, 46.5, 0
0, 248, 207, 42, 0, 247, 199, 47.5, 0
0, 249, 195, 49, 0, 247, 196, 48.5, 0
0, 248, 193, 50, 0, 247, 193, 49.5, 0
0, 248, 191, 283, 0, 247, 191, 283.5, 0
0, 248, 155, 157, 0, 247, 153, 156.5, 0
0, 248, 127, 84, 0, 247, 128, 84.5, 0
0, 248, 125, 83, 0, 247, 126, 83.5, 0
0, 249, 125, 148, 0, 247, 126, 148.5, 0
0, 248, 123, 147, 0, 247, 123, 147.5, 0
0, 249, 105, 108, 0, 247, 106, 108.5, 0
0, 248, 103, 107, 0, 247, 103, 107.5, 0
0, 248, 100, 106, 0, 247, 101, 106.5, 0
0, 248, 101, 286, 0, 247, 101, 285.5, 0
0, 248, 83, 199, 0, 247, 83, 198.5, 0
0, 248, 61, 236, 0, 247, 62, 236.5, 0
0, 248, 25, 149, 0, 247, 26, 149.5, 0
0, 248, 383, 136, 0, 246, 384, 136.5, 0
0, 247, 381, 135, 0, 246, 382, 135.5, 0
0, 247, 323, 82, 0, 246, 323, 82.5, 0
0, 247, 298, 173, 0, 246, 299, 174.5, 0
0, 247, 295, 168, 0, 246, 296, 169.5, 0
0, 247, 296, 170, 0, 246, 296, 170.5, 0
0, 248, 291, 201, 0, 246, 291, 200.5, 0
0, 247, 276, 104, 0, 246, 275, 104.5, 0
0, 247, 266, 275, 0, 246, 266, 275.5, 0
0, 248, 253, 83, 0, 246, 254, 82.5, 0
